Sample	Bin	Taxonomic description	Relative abundance (%)	# contigs	Total length (bp)	Largest contig (bp)	N50	L50	GC%	Coverage	# ORFs	# SSUs	Circular	Putative virus	# reads recruited	% reads assigned	Lowest-rank taxon to which ≥ 75% reads assigned	TaxID	Rate %	Taxon of any rank to which most reads assigned	TaxID	Rate %	CheckM-inferred UID and lineage	Completeness	Contamination	Heterogeneity	5S rRNA	16S rRNA	23S rRNA	# of 20 tRNAs
101	8	Eubacterium sp.	2.37	49	2,776,565	 222,353 	86,279	12	38.53	80.2	2381	4	no	no	 1,505,829 	92.45	Eubacterium	1730	99.03	[Eubacterium] hallii DSM 3353	411469	49.79	1212: o__Clostridiales	91.28	0.67	0	yes	yes	no	16
101	9	Eubacterium sp. CAG:251	2.1	9	2,071,481	 467,853 	305,602	3	37.83	95.12	1971	0	no	no	 1,330,362 	84.6	Eubacterium sp. CAG:251	1262886	95.35	Eubacterium sp. CAG:251	1262886	95.35	1212: o__Clostridiales	98.66	0	0	yes	no	no	18
101	10	putative virus	2.08	1	146,214	 146,214 	146,214	1	38.18	1339.59	178	0	yes	yes	 1,320,023 	0.039	Bacteria	2	99.81	Enterobacter sp. E20	1560339	21.25	1: root	0	0	0	no	no	no	8
101	11	unidentified organism	2	76	2,732,795	 199,286 	67,209	13	43.77	68.94	2427	1	no	no	 1,279,416 	2.063	Firmicutes	1239	92.87	Firmicutes bacterium CAG:272	1263015	48.05	1212: o__Clostridiales	96.64	0	0	no	no	no	15
101	12	Clostridium sp. CAG:571	1.77	8	1,491,509	 480,256 	446,154	2	25.85	111.82	1603	1	no	no	 1,123,882 	93.74	Clostridium sp. CAG:571	1262822	98.23	Clostridium sp. CAG:571	1262822	98.23	1212: o__Clostridiales	77.17	1.9	0	yes	no	no	17
101	13	putative virus ph6 (crish C)	1.75	1	96,252	 96,252 	96,252	1	33.21	1714.07	95	0	yes	yes	 1,109,314 	0.038	Bacteria	2	100	Enterobacter sp. E20	1560339	21.41	1: root	0	0	0	no	no	no	0
101	14	putative virus ph15	1.61	3	123,081	 59,511 	50,911	2	38.49	1231.25	221	0	no	yes	 1,022,088 	2.551	Bacteroidales	171549	98.53	Prevotella copri DSM 18205	537011	59.76	1: root	0	0	0	no	no	no	4
101	15	putative virus	1.36	2	139,270	 98,118 	98,118	1	44.8	916.63	188	0	no	yes	 863,243 	0.093	Bacteria	2	100	Lachnospiraceae bacterium 7_1_58FAA	658087	52.42	1: root	0	0	0	no	no	no	17
101	16	Firmicutes bacterium CAG:41	1.26	511	3,531,180	 125,335 	12,544	69	38.03	33.56	3241	3	no	no	 801,025 	86.6	Firmicutes bacterium CAG:41	1263021	99.8	Firmicutes bacterium CAG:41	1263021	99.8	1212: o__Clostridiales	97.99	11.07	79.17	yes	no	no	15
101	17	Escherichia coli	1.05	271	5,067,861	 125,103 	38,485	36	50.7	19.53	4874	7	no	no	 673,799 	99.71	Escherichia coli	562	94.78	Escherichia coli	562	18.14	5124: f__Enterobacteriaceae	99.71	1.64	82.35	yes	no	no	17
101	18	putative virus	0.97	1	44,961	 44,961 	44,961	1	38.63	2024.39	51	0	yes	yes	 622,233 	0.036	Bacteria	2	100	Enterobacter sp. E20	1560339	30.57	1: root	0	0	0	no	no	no	0
101	19	putative virus	0.92	4	64,302	 26,800 	25,827	2	46.28	1350.87	107	0	no	yes	 588,512 	0.036	Bacteria	2	99.53	Enterobacter sp. E20	1560339	19.81	1: root	0	0	0	no	no	no	0
101	20	Clostridium sp. CAG:221	0.77	127	2,847,488	 82,286 	32,427	29	29.15	25.55	2706	2	no	no	 491,166 	94.77	Clostridium sp. CAG:221	1262780	86.01	Clostridium sp. CAG:221	1262780	86.01	203: k__Bacteria	81.03	8.62	83.33	yes	no	no	19
101	21	Eubacterium sp.	0.67	27	2,817,866	 237,572 	167,848	8	37.25	22.43	2644	3	no	no	 428,694 	90.11	Eubacterium	1730	97.81	Eubacterium eligens CAG:72	1263077	70.82	1212: o__Clostridiales	97.99	0	0	no	no	no	16
101	22	unidentified organism dm7 (Bacteria-like)	0.51	30	2,049,476	 282,924 	83,791	7	65.43	23.42	1805	4	no	no	 328,254 	10.74	Bacteria	2	100	bacterium OL-1	1504822	26.9	2112: p__Actinobacteria	100	0.81	0	no	yes	yes	18
101	23	unidentified organism (Eggerthella sp. CAG:20-like)	0.46	13	1,768,936	 372,393 	201,432	4	57.75	24.59	1443	1	no	no	 295,938 	11.37	Eggerthella sp. CAG:209	1262875	82.1	Eggerthella sp. CAG:209	1262875	82.1	2112: p__Actinobacteria	92.74	0.81	0	no	no	yes	17
101	24	Catenibacterium mitsuokai	0.45	123	2,292,341	 76,719 	28,307	31	34.12	18.43	2352	6	no	no	 284,648 	90.36	Catenibacterium mitsuokai	100886	82.99	Catenibacterium mitsuokai DSM 15897	451640	82.99	2372: k__Bacteria	98.58	0	0	yes	no	no	16
101	25	putative virus ph2 (crish B)	0.44	1	101,479	 101,479 	101,479	1	32.4	406.1	172	0	no	yes	 276,926 	0.039	Bacteria	2	100	Enterobacter sp. E20	1560339	24.55	1: root	0	0	0	no	no	no	1
101	26	Clostridiales bacterium	0.42	62	2,555,287	 177,171 	56,083	13	44.95	15.38	2238	3	no	no	 266,476 	91.55	Clostridiales	186802	99.86	[Eubacterium] siraeum DSM 15702	428128	49.66	1212: o__Clostridiales	98.66	0.34	0	no	yes	no	16
101	27	Akkermansia muciniphila	0.4	98	2,745,112	 138,163 	37,477	21	55.73	13.8	2342	1	no	no	 257,409 	92.52	Akkermansia muciniphila	239935	83.68	Akkermansia muciniphila ATCC BAA-835	349741	42.33	2982: k__Bacteria	97.14	0.68	0	no	yes	no	16
101	28	unidentified organism dm1 (Ruminococcaceae-like)	0.36	93	1,666,422	 57,856 	22,887	25	61.37	20.29	1450	0	no	no	 233,865 	10.59	Ruminococcaceae	541000	91.27	Subdoligranulum variabile DSM 15176	411471	67.63	1212: o__Clostridiales	77.38	1.02	100	yes	no	no	11
101	29	Blautia sp. CAG:37	0.34	162	2,640,672	 110,760 	26,409	28	48.81	12.12	2354	1	no	no	 217,701 	88.71	Blautia sp. CAG:37	1262757	95.44	Blautia sp. CAG:37	1262757	95.44	1226: o__Clostridiales	97.68	2.22	0	no	no	no	14
101	30	Prevotella sp.	0.32	1007	3,753,058	 64,749 	5,077	207	44.79	8.02	3387	1	no	no	 207,070 	74.2	Prevotella	838	98.11	Prevotella copri CAG:164	1263102	53.04	2724: g__Prevotella	89.76	12.73	63.41	yes	no	no	10
101	31	Firmicutes bacterium CAG:114	0.3	234	2,357,666	 82,721 	20,377	35	58.52	11.81	2341	1	no	no	 190,218 	91.8	Firmicutes bacterium CAG:114	1263001	92.11	Firmicutes bacterium CAG:114	1263001	92.11	1212: o__Clostridiales	98.43	1.68	0	yes	no	no	17
101	32	unidentified organism dm4 (Clostridiales-like)	0.27	165	2,385,320	 73,884 	21,860	30	55.52	10.76	2248	0	no	no	 175,367 	5.954	Clostridiales	186802	94.24	Eubacterium desmolans ATCC 43058	1408437	37.26	1212: o__Clostridiales	95.97	1.73	25	yes	no	no	15
101	33	putative virus ph11 (crish F)	0.27	1	89,388	 89,388 	89,388	1	31.8	283.38	80	0	yes	yes	 170,083 	0.039	Proteobacteria	1224	82.09	Enterobacter sp. E20	1560339	28.36	1: root	0	0	0	no	no	no	2
101	34	unidentified organism dm6	0.26	391	2,087,661	 39,565 	7,963	78	57.63	11.73	1885	1	no	no	 167,608 	3.246	Coriobacteriia	84998	90.92	Senegalimassilia anaerobia JC110	1034345	28.95	2112: p__Actinobacteria	92.4	4.58	100	yes	no	no	14
101	35	unidentified organism (Coriobacteriales-like)	0.26	60	1,663,121	 173,323 	48,805	11	65.84	14.42	1458	0	no	no	 163,865 	7.813	Coriobacteriales	84999	82.79	bacterium OL-1	1504822	11.38	2112: p__Actinobacteria	96.51	0	0	yes	no	no	17
101	36	unidentified organism dm2	0.24	37	1,713,586	 182,256 	93,470	7	47.85	13.44	1588	1	no	no	 155,890 	2.766	Clostridiales	186802	89.52	Lachnoanaerobaculum sp. OBRC5-5	936595	14.12	1120: o__Clostridiales	78.96	0	0	yes	no	no	5
101	37	Ruminococcus sp. CAG:177	0.23	190	2,110,085	 58,158 	15,564	41	51.26	10.03	2019	1	no	no	 144,663 	85.55	Ruminococcus sp. CAG:177	1262952	92.48	Ruminococcus sp. CAG:177	1262952	92.48	1212: o__Clostridiales	95.43	0.67	0	yes	no	no	10
101	38	Firmicutes bacterium CAG:103	0.2	165	1,915,522	 67,793 	14,517	36	61.8	9.94	1770	0	no	no	 130,055 	51.95	Firmicutes bacterium CAG:103	1262999	96.41	Firmicutes bacterium CAG:103	1262999	96.41	1212: o__Clostridiales	85.99	2.35	0	no	no	no	11
101	39	unidentified organism dm8	0.2	433	2,349,151	 32,556 	7,326	92	60.02	7.95	2214	4	no	no	 129,369 	1.815	Firmicutes	1239	75.73	Faecalibacterium sp. CAG:74	1262897	11.28	1120: o__Clostridiales	90.94	4.33	10	no	no	no	10
101	40	unidentified organism	0.2	253	2,021,296	 63,017 	11,917	51	60.01	9.11	1986	2	no	no	 125,847 	2.826	Firmicutes	1239	92.18	Firmicutes bacterium CAG:103	1262999	12.23	1212: o__Clostridiales	80.15	2.99	16.67	no	no	no	8
101	41	unidentified organism dm2	0.19	257	2,138,159	 39,930 	12,288	56	48.59	8.42	1933	1	no	no	 122,209 	1.647	Clostridiales	186802	79.88	Eubacterium brachy ATCC 33089	1321814	9.79	1120: o__Clostridiales	92.3	3.07	16.67	yes	no	yes	13
101	42	Ruminococcus sp. CAG:108	0.18	168	1,781,330	 112,775 	15,802	29	41.3	9.38	1626	2	no	no	 113,377 	94.16	Ruminococcus sp. CAG:108	1262950	98.68	Ruminococcus sp. CAG:108	1262950	98.68	1212: o__Clostridiales	96.7	1.68	75	yes	no	no	13
101	43	Oscillibacter sp. ER4	0.16	396	1,811,987	 43,043 	6,218	96	59.57	8.56	1891	0	no	no	 107,306 	89.78	Oscillibacter sp. ER4	1519439	96.22	Oscillibacter sp. ER4	1519439	96.22	203: k__Bacteria	91.95	16.74	9.46	yes	no	no	7
101	44	Senegalimassilia anaerobia	0.16	446	1,756,308	 19,404 	4,936	110	62.91	8.41	1664	1	no	no	 102,942 	90.96	Senegalimassilia anaerobia	1473216	98.97	Senegalimassilia anaerobia JC110	1034345	98.97	2112: p__Actinobacteria	89.3	7.8	91.67	no	no	no	6
101	45	putative virus ph1 (crish A)	0.15	3	70,160	 29,512 	22,414	2	34.67	197.87	90	0	no	yes	 93,796 	0.295	Escherichia coli	562	83.75	Escherichia coli M17	1392862	83.03	1: root	0	0	0	no	no	no	0
101	46	Ruminococcus lactaris	0.13	254	1,552,937	 76,621 	7,846	54	43.6	7.98	1350	1	no	no	 84,298 	99.02	Ruminococcus lactaris	46228	98.89	Ruminococcus lactaris CC59_002D	1073376	50.28	1256: f__Lachnospiraceae	68.68	0.78	0	no	no	no	5
101	47	unidentified organism (Firmicutes-like)	0.11	501	1,435,396	 13,122 	3,430	140	62.36	7.07	1488	0	no	no	 70,657 	25.55	Firmicutes	1239	93.14	Firmicutes bacterium CAG:176	1263007	38.44	1212: o__Clostridiales	71.19	0.67	0	no	no	no	2
101	48	Ruminococcus sp.	0.1	749	1,619,709	 8,590 	2,382	232	43.56	5.76	1544	0	no	no	 64,368 	90.88	Ruminococcus	1263	96.92	Ruminococcus bicirculans	1160721	48.73	1212: o__Clostridiales	61.11	2.47	11.11	no	no	no	3
101	49	unidentified organism	0.09	530	1,333,825	 14,371 	2,804	147	56.85	6.36	1385	2	no	no	 58,697 	2.114	Firmicutes	1239	87.91	Firmicutes bacterium CAG:124	1263002	9.91	1212: o__Clostridiales	58.62	0.92	0	yes	no	no	8
101	50	putative virus ph3 (crish E)	0.07	1	99,088	 99,088 	99,088	1	33.24	62.81	155	0	yes	yes	 41,809 	0.038	Gammaproteobacteria	1236	75	Enterobacter sp. E20	1560339	43.75	1: root	0	0	0	no	no	no	5
101	51	T7-like virus	0.07	1	39,239	 39,239 	39,239	1	50.53	157.04	46	0	yes	yes	 41,684 	81.35	T7-like virus	110456	99.97	Yersinia phage phiYeO3-12	110457	32.76	1: root	0	0	0	no	no	no	0
101	52	Porphyromonas sp.	0.06	652	1,217,653	 9,139 	1,981	216	52.35	4.79	1093	0	no	no	 40,530 	70.83	Porphyromonas	836	98.64	Porphyromonas asaccharolytica DSM 20707	879243	31.61	2622: f__Porphyromonadaceae	56.7	0.52	0	no	no	no	3
101	53	putative virus ph4	0.06	1	44,873	 44,873 	44,873	1	43.82	124.96	57	0	yes	yes	 38,398 	0.028	Bacteria	2	100	Enterobacter sp. E20	1560339	45.45	1: root	0	0	0	no	no	no	0
101	54	unidentified organism	0.05	618	1,021,644	 5,336 	1,683	217	47.73	4.47	971	0	no	no	 31,911 	1.573	Bacteria	2	100	Prevotella sp. CAG:474	1262926	8.76	2617: o__Bacteroidales	39.72	0.15	0	no	no	no	0
101	55	putative virus ph2 (crish B)	0.04	1	98,226	 98,226 	98,226	1	33.71	41.92	153	0	yes	yes	 27,681 	1.029	Bacteroides cellulosilyticus	246787	95.44	Bacteroides cellulosilyticus CL02T12C19	997874	95.44	1: root	0	0	0	no	no	no	0
101	56	unidentified organism dm3  (TM7x-like)	0.04	178	578,082	 20,327 	4,189	39	43.37	6.4	572	1	no	no	 25,385 	11.19	Candidatus Saccharibacteria oral taxon TM7x	1476577	85.53	Candidatus Saccharibacteria oral taxon TM7x	1476577	85.53	1453: k__Bacteria	51.98	1.79	33.33	yes	no	no	10
101	57	Clostridiales bacterium	0.03	1	40,632	 40,632 	40,632	1	43.85	73.24	44	0	no	no	 20,080 	96.19	Clostridiales	186802	98.02	Blautia wexlerae DSM 19850	1121115	49.65	1: root	0	0	0	no	no	no	0
101	58	crAssphage	0.02	1	94,404	 94,404 	94,404	1	29.22	24.38	90	0	yes	yes	 15,470 	96.97	uncultured phage crAssphage	1211417	99.33	uncultured phage crAssphage	1211417	99.33	1: root	0	0	0	no	no	no	0
101	59	unidentified organism	0.02	359	519,645	 3,966 	1,427	137	56.28	3.84	552	0	no	no	 14,254 	1.648	Bacteria	2	100	Senegalimassilia anaerobia JC110	1034345	19.15	203: k__Bacteria	8.37	0	0	no	no	no	0
101	60	putative virus ph4	0.02	9	44,336	 16,478 	13,134	2	43.11	41.31	54	0	no	yes	 12,555 	0.031	Bacteria	2	100	Enterobacter sp. E20	1560339	50	1: root	0	0	0	no	no	no	0
101	61	Parabacteroides sp.	0.02	13	58,937	 16,512 	8,387	3	50.11	30.54	51	0	no	no	 12,212 	99.86	Parabacteroides	375288	93.15	Parabacteroides sp. 20_3	469591	38.68	1: root	0	0	0	no	no	no	0
101	62	Eggerthella sp. CAG:298	0.02	277	436,714	 4,022 	1,620	102	54.53	3.88	518	0	no	no	 12,056 	88.19	Eggerthella sp. CAG:298	1262876	98.22	Eggerthella sp. CAG:298	1262876	98.22	203: k__Bacteria	16.56	0	0	no	no	no	0
101	63	putative virus ph4	0.02	1	43,678	 43,678 	43,678	1	39.92	34.92	54	0	yes	yes	 10,327 	0	unknown	0	0	unknown	0	0	1: root	0	0	0	no	no	no	0
101	64	Escherichia coli island	0.01	9	47,600	 15,969 	9,229	2	39.93	27.92	38	0	no	no	 8,995 	99.93	Escherichia coli	562	98.49	Escherichia coli 2-210-07_S3_C3	1444180	38.73	1: root	0	0	0	no	no	no	0
101	65	Leuconostoc lactis	0.01	227	337,219	 3,427 	1,480	86	44.12	3.87	334	0	no	no	 9,178 	95.08	Leuconostoc lactis	1246	94	Leuconostoc lactis	1246	85.65	486: f__Leuconostocaceae	22.5	0.26	0	no	no	no	10
101	66	putative virus ph5	0.01	35	129,697	 14,558 	5,872	8	41.31	6.75	158	0	no	yes	 5,956 	0.285	Bacteria	2	100	Clostridium celatum DSM 1785	545697	58.82	1: root	0	0	0	no	no	no	1
101	67	Actinomyces sp.	0.01	128	165,835	 2,762 	1,234	53	58.01	3.88	179	0	no	no	 4,785 	92.89	Actinomyces	1654	97.35	Actinomyces turicensis ACS-279-V-Col4	883077	65.22	203: k__Bacteria	9.97	0	0	no	no	no	1
101	68	putative virus ph14	0.01	1	16,654	 16,654 	16,654	1	50.22	29.48	24	0	no	yes	 3,314 	0.06	Salmonella enterica	28901	100	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000227	1173447	100	1: root	0	0	0	no	no	no	0
101	69	putative virus ph17	0	4	17,638	 12,198 	12,198	1	28.53	10.09	22	0	no	yes	 1,197 	0	unknown	0	0	unknown	0	0	1: root	0	0	0	no	no	no	0
125	1	putative virus ph7 (crish D)	33.78	9	101,614	 44,124 	28,863	2	32.5	8144.87	109	0	no	yes	 5,668,398 	68.19	Veillonella sp. CAG:933	1262980	99.98	Veillonella sp. CAG:933	1262980	99.98	1: root	0	0	0	no	no	no	0
125	2	crAssphage (a)	13.74	17	94,368	 17,445 	7,588	4	29.13	3568.17	91	0	no	yes	 2,312,483 	95.22	uncultured phage crAssphage	1211417	99.46	uncultured phage crAssphage	1211417	99.46	1: root	0	0	0	no	no	no	0
125	3	crAssphage (b)	4.17	16	54,315	 7,582 	4,088	5	29.05	1880.35	64	0	no	yes	 700,557 	91.77	uncultured phage crAssphage	1211417	99.73	uncultured phage crAssphage	1211417	99.73	1: root	0	0	0	no	no	no	0
125	4	Clostridium sp. CAG:217	3.96	4	1,981,733	 894,933 	862,801	2	53.08	49	1799	2	no	no	 672,756 	89.6	Clostridium sp. CAG:217	1262779	95.07	Clostridium sp. CAG:217	1262779	95.07	1212: o__Clostridiales	97.32	0	0	yes	no	no	19
125	5	Lachnospiraceae bacterium	1.26	114	2,490,790	 125,067 	39,527	21	41.92	12.44	2160	1	no	no	 215,673 	98.15	Lachnospiraceae	186803	97.98	Lachnospiraceae bacterium 3_1_46FAA	665950	30.82	1256: f__Lachnospiraceae	97.66	0.1	0	no	no	no	12
125	6	Ruminococcus sp. CAG:108	1.13	64	2,299,686	 202,551 	60,952	11	40.67	12.05	2187	3	no	no	 191,328 	84.91	Ruminococcus sp. CAG:108	1262950	95.8	Ruminococcus sp. CAG:108	1262950	95.8	1212: o__Clostridiales	99.33	1.48	0	yes	no	no	17
125	7	Dialister sp.	0.94	79	1,818,558	 143,608 	37,150	15	45.31	12.62	1739	4	no	no	 160,117 	89.66	Dialister	39948	99.36	Dialister invisus DSM 15470	592028	54.75	1022: p__Firmicutes	97.47	1.9	66.67	no	no	no	17
125	8	putative virus ph22	0.67	1	62,995	 62,995 	62,995	1	56.27	262.48	75	0	no	yes	 114,421 	0.043	Bacteria	2	98	Enterobacter sp. E20	1560339	22	1: root	0	0	0	no	no	no	0
125	9	putative virus ph7 (crish D)	0.16	4	10,653	 4,508 	3,067	2	32.83	367.91	11	0	no	yes	 27,650 	79.75	Veillonella sp. CAG:933	1262980	99.96	Veillonella sp. CAG:933	1262980	99.96	1: root	0	0	0	no	no	no	0
125	10	Ruminococcus sp.	0.15	547	866,231	 6,499 	1,570	196	43.23	4.36	849	1	no	no	 27,245 	88.27	Ruminococcus	1263	98.5	Ruminococcus bicirculans	1160721	56.9	1212: o__Clostridiales	31.73	0.34	0	no	no	no	0
125	11	Lachnoclostridium sp. island	0.03	7	84,542	 24,230 	21,352	2	45	8.71	121	0	no	no	 5,134 	64.19	Lachnoclostridium	1506553	83.19	[Clostridium] symbiosum WAL-14673	742741	54.28	203: k__Bacteria	1.75	0	0	no	no	no	0
147	1	crAssphage	10.35	1	93,165	 93,165 	93,165	1	29.12	2966.93	85	0	no	yes	 1,905,897 	93.26	uncultured phage crAssphage	1211417	99.48	uncultured phage crAssphage	1211417	99.48	1: root	0	0	0	no	no	no	0
147	2	Blautia sp. CAG:37	5.1	34	3,242,623	 275,259 	118,178	9	47.47	42.04	2859	5	no	no	 960,283 	76.24	Blautia sp. CAG:37	1262757	87	Blautia sp. CAG:37	1262757	87	1226: o__Clostridiales	98.95	0.63	0	no	no	yes	17
147	3	unidentified organism dm1 (Clostridiales-like)	2.34	57	2,900,403	 170,233 	80,207	13	55.65	21.56	2536	2	no	no	 438,092 	9.368	Clostridiales	186802	92.8	Subdoligranulum variabile DSM 15176	411471	24.41	1212: o__Clostridiales	99.32	0.68	0	yes	no	no	17
147	4	Firmicutes bacterium CAG:424	2.32	39	3,135,251	 398,607 	133,665	8	41.03	19.74	2975	4	no	no	 427,028 	89.44	Firmicutes bacterium CAG:424	1263022	96.08	Firmicutes bacterium CAG:424	1263022	96.08	1226: o__Clostridiales	99.36	0	0	no	no	no	17
147	5	Escherichia coli	2.17	207	4,865,741	 229,783 	45,854	30	50.88	11.93	4620	4	no	no	 403,596 	99.9	Escherichia coli	562	96.85	Escherichia coli	562	18.45	5124: f__Enterobacteriaceae	99.93	0.41	42.86	yes	no	no	16
147	6	Streptococcus thermophilus	0.83	178	1,872,996	 76,402 	26,471	23	38.88	11.87	2014	3	no	no	 154,857 	99.62	Streptococcus thermophilus	1308	90.62	Streptococcus thermophilus CNRZ1066	299768	21.38	684: g__Streptococcus	99.89	2.58	55.56	yes	no	no	13
147	7	Escherichia coli island	0.04	23	110,603	 47,369 	9,849	2	42.7	9.8	120	0	no	no	 7,561 	99.4	Escherichia coli	562	97.11	Escherichia coli 2-011-08_S1_C2	1444065	17.03	1: root	0	0	0	no	no	no	0
147	8	putative virus ph1 (crish A)	0.02	20	79,995	 13,171 	8,500	4	35.79	7.69	97	0	no	yes	 4,278 	0.233	Bacteria	2	100	Kingella denitrificans ATCC 33394	888741	40	1: root	0	0	0	no	no	no	0
147	9	putative virus ph14	0.02	1	17,655	 17,655 	17,655	1	52.59	29.19	24	0	no	yes	 3,608 	0.11	Enterobacteriaceae	543	100	Enterobacter sp. E20	1560339	50	1: root	0	0	0	no	no	no	0
156	1	Escherichia coli (a)	45.09	287	5,084,970	 139,278 	42,855	38	50.82	217.4	4931	6	no	no	 7,650,695 	99.96	Escherichia coli	562	96.36	Escherichia coli	562	18.26	5124: f__Enterobacteriaceae	99.31	1.69	88.89	yes	no	no	17
156	2	unidentified organism dm5 (Clostridiales-like)	9.25	17	2,174,797	 266,185 	150,057	5	41.05	104.23	2014	4	no	no	 1,560,200 	21.72	Clostridiales	186802	91.29	Ruminococcus lactaris ATCC 29176	471875	9.83	1256: f__Lachnospiraceae	83.92	0	0	no	no	no	15
156	3	crAssphage	7.5	1	99,354	 99,354 	99,354	1	29.25	1850.51	95	0	yes	yes	 1,257,518 	91.77	uncultured phage crAssphage	1211417	99.12	uncultured phage crAssphage	1211417	99.12	1: root	0	0	0	no	no	no	0
156	4	putative virus ph5	2.89	12	162,278	 98,746 	98,746	1	42	436.62	207	0	no	yes	 492,141 	1.121	Parabacteroides distasonis	823	98.37	Parabacteroides distasonis str. 3999B T(B) 6	1339345	31.2	1: root	0	0	0	no	no	no	1
156	5	Blautia sp. CAG:52	1.93	68	3,002,101	 160,711 	64,196	15	44.42	15.79	2678	6	no	no	 326,917 	90.74	Blautia sp. CAG:52	1262758	81.81	Blautia sp. CAG:52	1262758	81.81	1226: o__Clostridiales	97.15	0.63	0	no	no	no	16
156	6	Escherichia coli (b)	1.17	279	796,285	 25,184 	3,999	46	49.06	36.09	847	0	no	no	 202,511 	99.57	Escherichia coli	562	95.21	Escherichia coli	562	20.77	1: root	0	0	0	no	no	no	1
156	7	Eubacterium sp.	0.72	278	2,142,766	 57,448 	10,800	59	42.62	8.19	1971	2	no	no	 122,363 	95.06	Eubacterium	1730	97.92	Eubacterium rectale CAG:36	1263079	49.11	1286: f__Lachnospiraceae	96.84	2.78	14.29	no	no	no	13
156	8	Streptococcus sp.	0.59	411	1,756,085	 23,237 	6,255	83	39.64	8.17	1836	1	no	no	 100,400 	98.3	Streptococcus	1301	98.66	Streptococcus salivarius	1304	21.54	684: g__Streptococcus	90.97	1.22	36.36	no	no	no	15
156	9	N4-like virus	0.15	1	72,075	 72,075 	72,075	1	43.18	52.4	85	0	yes	yes	 25,910 	85.24	N4-like virus	371730	93.35	Escherichia phage vB_EcoP_PhAPEC7	1391223	30.5	1: root	0	0	0	no	no	no	0
156	10	Actinomyces sp.	0.15	508	806,746	 5,613 	1,571	179	64.32	4.59	877	1	no	no	 27,587 	86.2	Actinomyces	1654	90.53	Actinomyces sp. ICM54	936549	25.38	1531: f__Actinomycetaceae	28.74	1.01	66.67	yes	no	yes	3
156	11	Enterobacter cloacae	0.09	287	420,869	 28,207 	1,340	102	55.2	4.97	473	0	no	no	 15,367 	75.43	Enterobacter cloacae	550	75.79	Enterobacter cloacae	550	62.91	203: k__Bacteria	4.91	0	0	no	no	no	0
156	12	putative virus ph4	0.03	1	45,546	 45,546 	45,546	1	44.65	17.56	62	0	no	yes	 5,515 	0.072	Enterobacteriaceae	543	100	Enterobacter sp. E20	1560339	50	1: root	0	0	0	no	no	no	0
156	13	putative virus ph6 (crish C)	0.01	33	64,607	 5,278 	2,091	11	32.73	5.19	65	0	no	yes	 2,359 	3.136	Erysipelotrichaceae	128827	82.43	Erysipelatoclostridium ramosum DSM 1402	445974	31.08	1: root	0	0	0	no	no	no	0
156	14	unidentified organism dm3 (TM7x-like)	0.01	32	42,734	 2,278 	1,281	13	44.04	3.76	35	0	no	no	 1,166 	17.06	Candidatus Saccharibacteria oral taxon TM7x	1476577	80.9	Candidatus Saccharibacteria oral taxon TM7x	1476577	80.9	203: k__Bacteria	8.53	0	0	no	no	no	5
160	1	Escherichia coli (a)	61.8	816	4,852,488	 51,224 	9,986	131	51.18	304.93	4580	4	no	no	 10,301,141 	99.94	Escherichia coli	562	96	Escherichia coli	562	18.98	5124: f__Enterobacteriaceae	97.08	9.06	95.88	no	no	no	15
160	2	putative virus ph1 (crish A)	15.49	1	85,606	 85,606 	85,606	1	35.69	4332.66	110	0	yes	yes	 2,552,603 	0.032	Bacteria	2	99.76	Enterobacter sp. E20	1560339	20.94	1: root	0	0	0	no	no	no	0
160	3	Escherichia coli (b)	6	1429	3,466,869	 33,369 	3,037	271	48.77	41.43	3643	0	no	no	 1,010,034 	99.71	Escherichia coli	562	95.07	Escherichia coli	562	20.2	203: k__Bacteria	11.21	0.86	100	no	no	no	3
160	4	Clostridiales bacterium	2.91	88	3,628,910	 231,607 	86,558	15	42.7	19.23	3517	3	no	no	 487,687 	84.81	Clostridiales	186802	98.02	Ruminococcus gnavus CAG:126	1263106	21.91	1256: f__Lachnospiraceae	99.32	0.1	0	no	yes	no	19
160	5	Firmicutes bacterium	1.47	285	3,805,478	 137,762 	26,192	35	44.34	9.25	3769	3	no	no	 243,715 	98.6	Firmicutes	1239	99.94	Clostridium sp. HGF2	908340	18.78	2372: k__Bacteria	97.17	2.36	0	no	no	no	11
160	6	Streptococcus lutetiensis	0.8	97	1,759,487	 112,887 	26,133	19	37.56	10.85	1815	2	no	no	 132,019 	96.35	Streptococcus lutetiensis	150055	82.78	Streptococcus lutetiensis 033	1076934	82.78	544: o__Lactobacillales	98.23	0.44	33.33	yes	no	no	14
160	7	putative virus ph8 (crish I)	0.79	1	97,108	 97,108 	97,108	1	32.21	195.71	82	0	yes	yes	 130,367 	0.021	Bacteria	2	100	Mycobacterium tuberculosis	1773	28.57	1: root	0	0	0	no	no	no	0
160	8	putative Klebsiella phage	0.61	1	43,615	 43,615 	43,615	1	51.2	335	57	0	yes	yes	 101,610 	20.93	Podoviridae	10744	99.81	Klebsiella phage KP34	674081	48.47	1: root	0	0	0	no	no	no	0
160	9	Streptococcus sp.	0.19	501	809,865	 14,065 	1,544	170	39.79	5.73	782	1	no	no	 33,786 	97.53	Streptococcus	1301	93.07	Streptococcus salivarius	1304	10.19	203: k__Bacteria	48.71	2.98	85.71	no	no	no	2
